#,Thermostat,identifier,Anon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Thermostat,name,Thermostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Start,date,6/19/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,End,date,6/19/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Humidity Set Point (%RH),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),Humidifier (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Thermostat AirQualityAccuracy,Thermostat AirQuality,Thermostat VOCppm,Thermostat CO2ppm,Thermostat AirPressure,Living Room (F),Living Room2,SunRoom (F),SunRoom2,Office (F),Office2,GuestRoom (F),GuestRoom2,BoyRoom (F),BoyRoom2,GirlRoom (F),GirlRoom2,Closet (F),Closet2,Bedroom (F),Bedroom2,Basement (F),Basement2
6/19/23,0:00:00,cool,compressorCoolOff,,Sleep,76,62,75,0,53,66.3,0,0,0,0,0,0.2,74.4,53,0,4,26,512,506,97806,72.8,0,74.8,0,80.6,0,80.5,0,75.5,0,74.9,0,77,0,76.8,0,72.9,0
6/19/23,0:05:00,cool,compressorCoolOff,,Sleep,76,62,75,0,53,66.3,0,0,0,0,0,0.1,74.4,53,0,3,25,505,502,97811,72.8,0,74.8,0,80.6,0,80.5,0,75.5,0,74.9,0,77,0,76.8,0,72.9,0
6/19/23,0:10:00,cool,compressorCoolOff,,Sleep,76,62,75,0,53,66.3,0,0,0,0,0,0.2,74.4,53,0,3,25,506,503,97806,72.8,0,74.7,0,80.5,0,80.5,0,75.5,0,75,0,77,0,76.7,0,72.8,0
6/19/23,0:15:00,cool,compressorCoolOff,,Sleep,76,62,75,0,53,66.3,0,0,0,0,0,0.2,74.4,53,0,3,25,509,504,97814,72.8,0,74.7,0,80.5,0,80.5,0,75.5,0,75,0,77,0,76.7,0,72.3,0
6/19/23,0:20:00,cool,compressorCoolOff,,Sleep,76,62,75,0,53,66.3,0,0,0,0,0,0.2,74.4,53,0,3,25,508,504,97816,72.8,0,74.7,0,80.5,0,80.4,0,75.5,0,75,0,77,0,76.7,0,71.3,0
6/19/23,0:25:00,cool,compressorCoolOff,,Sleep,76,62,74.9,0,53,66.3,0,0,0,0,0,0.2,74.3,53,0,3,25,507,503,97820,72.8,0,74.6,0,80.5,0,80.4,0,75.4,0,75,0,77,0,76.7,0,71.3,0
6/19/23,0:30:00,cool,compressorCoolOff,,Sleep,76,62,75,0,53,65.4,0,0,0,0,0,0.2,74.3,53,0,4,26,514,507,97823,72.8,0,74.6,0,80.4,0,80.4,0,75.4,0,75,0,77,0,76.7,0,71.8,0
6/19/23,0:35:00,cool,compressorCoolOff,,Sleep,76,62,74.9,0,53,65.4,0,0,0,0,0,0.1,74.2,53,0,4,26,511,505,97820,72.7,0,74.6,0,80.4,0,80.4,0,75.4,0,75,0,77,0,76.6,0,72.2,0
6/19/23,0:40:00,cool,compressorCoolOff,,Sleep,76,62,74.9,0,52,65.4,0,0,0,0,0,0.1,74.2,52,0,3,25,507,503,97817,72.7,0,74.5,0,80.4,0,80.4,0,75.4,0,75,0,77,0,76.6,0,72.5,0
6/19/23,0:45:00,cool,compressorCoolOff,,Sleep,76,62,74.8,0,52,65.4,0,0,0,0,0,0.2,74.3,52,0,3,26,515,508,97822,72.7,0,74.5,0,80.4,0,80.3,0,75.4,0,75,0,76.9,0,76.6,0,72.7,0
