#,Thermostat,identifier,Anon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Thermostat,name,Thermostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Start,date,6/9/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,End,date,7/3/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Humidity Set Point (%RH),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),Humidifier (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Thermostat AirQualityAccuracy,Thermostat AirQuality,Thermostat VOCppm,Thermostat CO2ppm,Thermostat AirPressure,Living Room (F),Living Room2,SunRoom (F),SunRoom2,Office (F),Office2,GuestRoom (F),GuestRoom2,BoyRoom (F),BoyRoom2,GirlRoom (F),GirlRoom2,Closet (F),Closet2,Bedroom (F),Bedroom2,Basement (F),Basement2
6/9/23,0:00:00,cool,heatOff,auto,Sleep,76,76,70.7,0,46,56.1,0,0,0,0,0,,71.3,46,0,3,25,510,505,97471,70.2,0,,,,,,,,,,,,,,,,
6/9/23,0:05:00,cool,heatOff,auto,Sleep,76,76,70.7,0,46,56.1,0,0,0,0,0,,71.3,46,0,3,25,510,505,97468,70.2,0,,,,,,,,,,,,,,,,
6/9/23,0:10:00,cool,heatOff,auto,Sleep,76,76,70.6,0,46,56.1,0,0,0,0,0,,71.2,46,0,3,25,510,505,97465,70.2,0,,,,,,,,,,,,,,,,
6/9/23,0:15:00,cool,heatOff,auto,Sleep,76,76,70.6,0,46,56.1,0,0,0,0,0,,71.2,46,0,3,25,509,504,97460,70.2,0,,,,,,,,,,,,,,,,
6/9/23,0:20:00,cool,heatOff,auto,Sleep,76,76,70.5,0,46,56.1,0,0,0,0,0,,71.1,46,0,3,26,510,505,97457,70.1,0,,,,,,,,,,,,,,,,
6/9/23,0:25:00,cool,heatOff,auto,Sleep,76,76,70.5,0,46,56.1,0,0,0,0,0,,71.1,46,0,3,25,509,504,97455,70.1,0,,,,,,,,,,,,,,,,
6/9/23,0:30:00,cool,heatOff,auto,Sleep,76,76,70.5,0,46,55.3,0,0,0,0,0,,71.1,46,0,3,26,511,505,97456,70.1,0,,,,,,,,,,,,,,,,
6/9/23,0:35:00,cool,heatOff,auto,Sleep,76,76,70.5,0,46,55.3,0,0,0,0,0,0.1,71.1,46,0,3,25,508,504,97454,70.1,0,,,,,,,,,,,,,,,,
6/9/23,0:40:00,cool,heatOff,auto,Sleep,76,76,70.4,0,46,55.3,0,0,0,0,0,0.1,71,46,0,3,25,509,504,97450,70.1,0,,,,,,,,,,,,,,,,
6/9/23,0:45:00,cool,heatOff,auto,Sleep,76,76,70.4,0,46,55.3,0,0,0,0,0,0.1,71.1,46,0,4,25,510,505,97447,70,0,,,,,,,,,,,,,,,,
6/9/23,0:50:00,cool,heatOff,auto,Sleep,76,76,70.4,0,46,55.3,0,0,0,0,0,0.1,71,46,0,3,25,509,504,97445,70,0,,,,,,,,,,,,,,,,
6/9/23,0:55:00,cool,heatOff,auto,Sleep,76,76,70.4,0,46,55.3,0,0,0,0,0,0.1,71,46,0,4,26,510,505,97442,70,0,,,,,,,,,,,,,,,,
6/9/23,1:00:00,cool,heatOff,auto,Sleep,76,76,70.4,0,46,55.5,0,0,0,0,0,0.1,71,46,0,3,25,510,505,97440,70,0,,,,,,,,,,,,,,,,
6/9/23,1:05:00,cool,heatOff,auto,Sleep,76,76,70.4,0,46,55.5,0,0,0,0,0,0.1,71,46,0,3,25,509,504,97438,70,0,,,,,,,,,,,,,,,,
6/9/23,1:10:00,cool,heatOff,auto,Sleep,76,76,70.3,0,46,55.5,0,0,0,0,0,0.1,71,46,0,3,26,516,508,97429,69.9,0,,,,,,,,,,,,,,,,
6/9/23,1:15:00,cool,heatOff,auto,Sleep,76,76,70.3,0,46,55.5,0,0,0,0,0,0.1,71,46,0,4,26,513,507,97419,69.9,0,,,,,,,,,,,,,,,,
6/9/23,1:20:00,cool,heatOff,auto,Sleep,76,76,70.4,0,46,55.5,0,0,0,0,0,,70.9,46,0,4,26,514,507,97417,69.9,0,,,,,,,,,,,,,,,,
6/9/23,1:25:00,cool,heatOff,auto,Sleep,76,76,70.3,0,46,55.5,0,0,0,0,0,,71,46,0,3,25,509,504,97417,69.9,0,,,,,,,,,,,,,,,,
6/9/23,1:30:00,cool,heatOff,auto,Sleep,76,76,70.3,0,46,54.7,0,0,0,0,0,,71,46,1,3,25,508,504,97425,69.9,0,,,,,,,,,,,,,,,,
6/9/23,1:35:00,cool,heatOff,auto,Sleep,76,76,70.4,0,46,54.7,0,0,0,0,0,,71,46,0,4,25,510,505,97421,69.9,0,,,,,,,,,,,,,,,,
6/9/23,1:40:00,cool,heatOff,auto,Sleep,76,76,70.4,0,46,54.7,0,0,0,0,0,0.1,71,46,0,3,25,507,504,97425,70,0,,,,,,,,,,,,,,,,
